[REJECTED] BTC/USDT | Reason: Низкий объем
[REJECTED] ETH/USDT | Reason: Низкий объем
[REJECTED] SOL/USDT | Reason: Низкий объем
[REJECTED] BNB/USDT | Reason: Низкий объем
[REJECTED] BTC/USDT | Reason: Низкий объем
[REJECTED] ETH/USDT | Reason: Низкий объем
[REJECTED] SOL/USDT | Reason: Низкий объем
[REJECTED] BNB/USDT | Reason: Низкий объем
[REJECTED] BTC/USDT | Reason: Низкий объем
[REJECTED] ETH/USDT | Reason: Низкий объем
[REJECTED] SOL/USDT | Reason: Низкий объем
[REJECTED] BNB/USDT | Reason: Низкий объем
[REJECTED] BTC/USDT | Reason: Низкий объем
[REJECTED] ETH/USDT | Reason: Низкий объем
[REJECTED] SOL/USDT | Reason: Низкий объем
[REJECTED] BNB/USDT | Reason: Низкий объем
[REJECTED] BTC/USDT | Reason: Низкий объем
[REJECTED] ETH/USDT | Reason: Низкий объем
[REJECTED] SOL/USDT | Reason: Низкий объем
[REJECTED] BNB/USDT | Reason: Низкий объем
[REJECTED] BTC/USDT | Reason: Низкий объем
[REJECTED] ETH/USDT | Reason: Низкий объем
[REJECTED] SOL/USDT | Reason: Низкий объем
[REJECTED] BTC/USDT | Reason: Низкий объем
[REJECTED] ETH/USDT | Reason: Низкий объем
[REJECTED] SOL/USDT | Reason: Низкий объем
